,symbol,timestamp,base,quote,bid_price,bid_volume,ask_price,ask_volume
207,ENJ/USD,2023-03-12 20:44:00.763,ENJ,USD,0.3672,136.7,0.368,200.0
208,ONT/USD,2023-03-12 20:44:00.849,ONT,USD,0.1981,1929.0,0.1987,1926.0
209,ZIL/USD,2023-03-12 20:44:00.929,ZIL,USD,0.02355,43000.0,0.02357,94735.3
210,VET/USD,2023-03-12 20:44:01.002,VET,USD,0.02129,44000.0,0.02131,79345.9
211,XTZ/USD,2023-03-12 20:44:01.068,XTZ,USD,1.0268,59.0,1.03,59.0
212,HBAR/USD,2023-03-12 20:44:01.134,HBAR,USD,0.0582,17000.0,0.0583,15975.0
213,OMG/USD,2023-03-12 20:44:01.202,OMG,USD,1.291,43.0,1.295,218.1
214,MATIC/USD,2023-03-12 20:44:01.270,MATIC,USD,1.1077,720.0,1.1083,520.5
215,EOS/USD,2023-03-12 20:44:01.332,EOS,USD,1.0191,200.0,1.0224,200.0
216,DOGE/USD,2023-03-12 20:44:01.403,DOGE,USD,0.0691,22513.0,0.0692,23051.0
217,KNC/USD,2023-03-12 20:44:01.475,KNC,USD,0.625,309.4,0.626,309.4
218,VTHO/USD,2023-03-12 20:44:01.544,VTHO,USD,0.001321,146231.0,0.001325,31647.0
219,USDC/USD,2023-03-12 20:44:01.611,USDC,USD,0.9674,3821.73,0.9692,3000.0
220,COMP/USD,2023-03-12 20:44:01.680,COMP,USD,40.02,8.618,40.11,2.0
221,MANA/USD,2023-03-12 20:44:01.752,MANA,USD,0.5482,200.0,0.5493,130.0
222,HNT/USD,2023-03-12 20:44:01.824,HNT,USD,2.13,2635.98,2.15,840.91
223,MKR/USD,2023-03-12 20:44:01.907,MKR,USD,717.0,1.2867,720.0,0.4808
224,DAI/USD,2023-03-12 20:44:01.981,DAI,USD,0.967,17.61,0.9768,621.52
225,ONE/USD,2023-03-12 20:44:02.059,ONE,USD,0.0165,165306.7,0.0166,924411.3
226,BAND/USD,2023-03-12 20:44:02.134,BAND,USD,1.518,220.8,1.525,279.3
227,STORJ/USD,2023-03-12 20:44:02.222,STORJ,USD,0.3166,86.0,0.3179,260.0
228,UNI/USD,2023-03-12 20:44:02.315,UNI,USD,5.7657,244.32,5.7794,20.14
229,SOL/USD,2023-03-12 20:44:02.403,SOL,USD,18.87,40.5,18.89,48.25
230,EGLD/USD,2023-03-12 20:44:02.478,EGLD,USD,39.8,1.8,39.89,5.97
231,PAXG/USD,2023-03-12 20:44:02.544,PAXG,USD,1928.0,0.1248,1931.0,0.0167
232,OXT/USD,2023-03-12 20:44:02.620,OXT,USD,0.0832,2674.0,0.0837,650.0
233,ZEN/USD,2023-03-12 20:44:02.683,ZEN,USD,9.44,1.07,9.48,1.06
234,FIL/USD,2023-03-12 20:44:02.755,FIL,USD,5.341,386.41,5.345,58.12
235,AAVE/USD,2023-03-12 20:44:02.824,AAVE,USD,70.0,568.038,70.1,66.4
236,GRT/USD,2023-03-12 20:44:02.890,GRT,USD,0.1204,5600.0,0.1205,2819.46
237,SUSHI/USD,2023-03-12 20:44:02.957,SUSHI,USD,1.147,70.6,1.151,46.7
238,ANKR/USD,2023-03-12 20:44:03.029,ANKR,USD,0.02836,4867.2,0.02842,10000.0
239,CRV/USD,2023-03-12 20:44:03.089,CRV,USD,0.905,72.0,0.907,385.0
240,AXS/USD,2023-03-12 20:44:03.159,AXS,USD,7.59,24.67,7.62,5.44
241,AVAX/USD,2023-03-12 20:44:03.232,AVAX,USD,15.22,67.0,15.23,230.23
242,CTSI/USD,2023-03-12 20:44:03.304,CTSI,USD,0.125,1252.0,0.1252,6556.0
243,DOT/USD,2023-03-12 20:44:03.380,DOT,USD,5.73,106.96,5.74,40.16
244,YFI/USD,2023-03-12 20:44:03.494,YFI,USD,7543.0,0.033,7557.0,0.04584
245,1INCH/USD,2023-03-12 20:44:03.568,1INCH,USD,0.454,4523.1,0.456,119.3
246,FTM/USD,2023-03-12 20:44:03.642,FTM,USD,0.3638,750.0,0.3641,1500.0
247,NEAR/USD,2023-03-12 20:44:03.711,NEAR,USD,1.888,632.0,1.889,275.0
248,LRC/USD,2023-03-12 20:44:03.783,LRC,USD,0.2931,1498.0,0.2938,1042.0
249,LPT/USD,2023-03-12 20:44:03.925,LPT,USD,5.2,325.21,5.23,5.0
250,NMR/USD,2023-03-12 20:44:03.988,NMR,USD,16.17,43.66,16.25,2.16
251,SLP/USD,2023-03-12 20:44:04.056,SLP,USD,0.002641,149089.0,0.002649,378.0
252,ANT/USD,2023-03-12 20:44:04.125,ANT,USD,2.245,599.6,2.253,178.2
253,XNO/USD,2023-03-12 20:44:04.197,XNO,USD,0.772,77.0,0.775,479.01
254,CHZ/USD,2023-03-12 20:44:04.275,CHZ,USD,0.1118,5450.0,0.112,850.0
255,OGN/USD,2023-03-12 20:44:04.344,OGN,USD,0.1068,180.0,0.1072,3884.6
256,GALA/USD,2023-03-12 20:44:04.418,GALA,USD,0.03263,30000.0,0.03267,20731.0
257,TLM/USD,2023-03-12 20:44:04.489,TLM,USD,0.0168,30066.0,0.0169,33062.0
258,SNX/USD,2023-03-12 20:44:04.558,SNX,USD,2.336,181.7,2.345,142.6
259,AUDIO/USD,2023-03-12 20:44:04.632,AUDIO,USD,0.2316,850.0,0.2321,850.0
260,REQ/USD,2023-03-12 20:44:04.716,REQ,USD,0.0914,613.0,0.0919,4524.0
261,APE/USD,2023-03-12 20:44:04.786,APE,USD,4.079,70.64,4.084,30.61
262,FLUX/USD,2023-03-12 20:44:04.858,FLUX,USD,0.618,1058.26,0.622,2047.79
263,TRX/USD,2023-03-12 20:44:04.924,TRX,USD,0.06148,1400.0,0.06154,9545.2
264,COTI/USD,2023-03-12 20:44:04.994,COTI,USD,0.0676,4548.0,0.0683,3176.0
265,VOXEL/USD,2023-03-12 20:44:05.092,VOXEL,USD,0.2258,1800.8,0.2269,892.0
266,RLC/USD,2023-03-12 20:44:05.187,RLC,USD,1.366,179.6,1.37,324.0
267,BICO/USD,2023-03-12 20:44:05.265,BICO,USD,0.339,1009.64,0.341,801.41
268,API3/USD,2023-03-12 20:44:05.369,API3,USD,1.285,224.5,1.286,143.32
269,ENS/USD,2023-03-12 20:44:05.454,ENS,USD,12.68,33.46,12.71,2.47
270,BNT/USD,2023-03-12 20:44:05.529,BNT,USD,0.406,1081.6,0.409,1192.3
271,IMX/USD,2023-03-12 20:44:05.594,IMX,USD,0.866,600.24,0.869,605.86
272,SPELL/USD,2023-03-12 20:44:05.672,SPELL,USD,0.0006596,702520.0,0.0006617,21432.0
273,JASMY/USD,2023-03-12 20:44:05.741,JASMY,USD,0.00503,69644.1,0.005042,124574.7
